Time,Horizon,Models,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
36.292,600,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,21777260,,,,,21777260
89.025,600,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,21220740,13536000,,,,34756740
7.933,600,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,21965300,14630400,15025920,,,51621620
37.141,600,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,21805740,14630400,15025920,15420900,,66882960
49.064,600,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,21965300,14572800,15025920,15420900,18739700,85724620
7.858,600,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,19400900,,,,,19400900
7.257,600,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,19400900,14154000,,,,33554900
7.117,600,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,19400900,14154000,16680000,,,50234900
7.464,600,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,19400900,14154000,16680000,21493500,,71728400
7.509,600,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,19400900,14154000,16680000,21493500,23012600,94741000
9.055,600,1,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,16299780,,,,,16299780
9.002,600,1,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,16299780,13766400,,,,30066180
9.885,600,1,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,16299780,13766400,14847120,,,44913300
8.830,600,1,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,16299780,13766400,14847120,13656100,,58569400
9.000,600,1,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,16299780,13766400,14847120,13656100,13937200,72506600
9.268,600,1,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,20791720,,,,,20791720
8.943,600,1,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,20791720,15206400,,,,35998120
8.865,600,1,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,20791720,15206400,14703880,,,50702000
8.806,600,1,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,20791720,15206400,14703880,14656200,,65358200
8.713,600,1,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,20791720,15206400,14703880,14656200,16679600,82037800
8.549,600,1,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,14145720,,,,,14145720
8.507,600,1,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,14145720,12268800,,,,26414520
8.379,600,1,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,14145720,12268800,12867760,,,39282280
8.291,600,1,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,14145720,12268800,12867760,13126000,,52408280
8.288,600,1,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,14145720,12268800,12867760,13126000,14054700,66462980
9.009,600,1,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,7170300,,,,,7170300
8.988,600,1,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,7170300,5529600,,,,12699900
8.966,600,1,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,7170300,5529600,6389740,,,19089640
8.837,600,1,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,7170300,5529600,6389740,6234700,,25324340
8.806,600,1,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,7170300,5529600,6389740,6234700,6085800,31410140
8.490,600,1,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,20860020,,,,,20860020
8.325,600,1,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,20860020,15321600,,,,36181620
8.225,600,1,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,20860020,15321600,15240280,,,51421900
8.178,600,1,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,20860020,15321600,15240280,16246500,,67668400
8.105,600,1,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,20860020,15321600,15240280,16246500,17715700,85384100
5.003,600,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,21529960,,,,,42898460
188.182,600,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,21965300,14745600,,,,73249000
20.875,600,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,22018000,14342400,15025920,,,101568280
781.268,600,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,22018000,14918400,15025920,15420900,,134478440
22.653,600,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,22037740,14918400,15025920,15360800,18739700,171819520
78.008,600,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,19495700,,,,,38896600
88.455,600,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,19495700,14154000,,,,67204600
67.288,600,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,19495700,14154000,16680000,,,100564600
8.175,600,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,19400900,14154000,16680000,21657700,,143621000
8.302,600,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,19400900,14154000,16680000,21657700,23177400,189811000
328.903,600,2,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,16315700,,,,,32615480
79.188,600,2,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,16278920,13824000,,,,60111500
98.887,600,2,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,16278920,13824000,14847120,,,89805740
160.319,600,2,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,16278920,13824000,14847120,13653200,,117115040
10.158,600,2,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,16299780,13708800,14847120,13650300,14514000,145963400
0.0,600,2,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,
89.484,600,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,20791720,15206400,14703880,14662000,,130722200
119.735,600,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,20791720,15206400,14703880,14662000,16679600,164081400
0.0,600,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
734.111,600,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,14145720,12268800,12957160,,,78653960
149.737,600,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,14145720,12268800,12867760,13131800,,104822360
61.516,600,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,14145720,12268800,12867760,13126000,14384300,133420360
313.987,600,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,7170300,,,,,7170300
29.080,600,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,7170300,5126400,,,,24478200
21.633,600,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,7170300,5126400,6300340,,,36944780
8.267,600,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,7170300,5011200,6166240,6094200,,48872280
8.250,600,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,7170300,5011200,6166240,6094200,6168200,61043880
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
649.402,600,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,20860020,15494400,,,,72536040
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,
125.178,600,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,22037740,,,,,130327340
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,
423.801,600,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,19527400,,,,,58424000
730.373,600,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,19527400,14337900,,,,202271100
0.0,600,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,
314.865,600,0,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,7170300,,,,,7170300
681.288,600,0,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,7170300,5875200,,,,100792800
691.620,600,0,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,7120300,5875200,6479140,,,151982820
0.0,600,0,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,
13.541,900,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,30830640,,,,,30830640
13.410,900,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,30830640,21196800,,,,52027440
13.278,900,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,30830640,21196800,22538880,,,74566320
13.130,900,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,30830640,21196800,22538880,20943600,,95509920
13.049,900,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,30830640,21196800,22538880,20943600,24531000,120040920
11.939,900,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,29026200,,,,,29026200
12.040,900,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,29026200,20929800,,,,49956000
12.049,900,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,29026200,20929800,24949800,,,74905800
11.513,900,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,29026200,20929800,24949800,33203100,,108108900
11.828,900,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,29026200,20929800,24949800,33203100,35525400,143634300
14.800,900,1,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,24025740,,,,,24025740
15.042,900,1,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,24025740,19526400,,,,43552140
14.448,900,1,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,24025740,19526400,22807080,,,66359220
14.573,900,1,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,24025740,19526400,22807080,21069600,,87428820
14.385,900,1,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,24025740,19526400,22807080,21069600,20952900,108381720
15.048,900,1,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,30978040,,,,,30978040
14.933,900,1,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,30978040,22348800,,,,53326840
14.726,900,1,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,30978040,22348800,22552680,,,75879520
14.628,900,1,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,30978040,22348800,22552680,21975600,,97855120
14.444,900,1,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,30978040,22348800,22552680,21975600,23306700,121161820
14.868,900,1,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,20423660,,,,,20423660
14.778,900,1,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,20423660,16992000,,,,37415660
14.703,900,1,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,20423660,16992000,18975560,,,56391220
14.564,900,1,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,20423660,16992000,18975560,17915100,,74306320
14.442,900,1,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,20423660,16992000,18975560,17915100,19963800,94270120
13.935,900,1,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,10251260,,,,,10251260
13.865,900,1,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,10251260,8121600,,,,18372860
13.769,900,1,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,10251260,8121600,9625300,,,27998160
13.725,900,1,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,10251260,8121600,9625300,8673800,,36671960
13.700,900,1,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,10251260,8121600,9625300,8673800,9005100,45677060
13.741,900,1,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,31406320,,,,,31406320
13.682,900,1,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,31406320,21772800,,,,53179120
13.546,900,1,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,31406320,21772800,22579040,,,75758160
13.453,900,1,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,31406320,21772800,22579040,21809000,,97567160
13.318,900,1,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,31406320,21772800,22579040,21809000,22953800,120520960
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,
13.753,900,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,30830640,21196800,22538880,20943600,24695800,240246640
0.0,900,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,
14.797,900,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,29026200,20929800,24949800,33367300,,216382000
15.115,900,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,29026200,20929800,24949800,33367300,35690200,287597600
0.0,900,2,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,
532.569,900,2,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,24025740,19526400,22807080,21144200,,174998140
396.526,900,2,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,24025740,19526400,22807080,21069600,21035300,216911740
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,
14.551,900,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,10426260,,,,,20677520
14.437,900,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,10426260,7948800,,,,36575120
14.636,900,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,10426260,7948800,9535900,,,55646920
14.561,900,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,10426260,7948800,9535900,8805600,,73258120
16.487,900,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,10426260,7948800,9535900,8805600,9169900,91597920
0.0,900,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,
0.0,900,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
34.710,900,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,31406320,21772800,22579040,21940800,,195266120
14.958,900,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,31406320,21772800,22579040,21809000,23118600,241206720
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,
0.0,900,0,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,
