Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
16.03,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6.0,21973260.0,,,,,21973260.0,multi_shot
13.87,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6.0,21965300.0,14572800.0,,,,36538100.0,multi_shot
20.09,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6.0,21543660.0,13593600.0,15025920.0,,,50163180.0,multi_shot
11.32,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6.0,22037740.0,14572800.0,15025920.0,15483900.0,,67120360.0,multi_shot
11.28,600,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6.0,22037740.0,14572800.0,15025920.0,15483900.0,18822100.0,85942460.0,multi_shot
10.21,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6.0,19393100.0,,,,,19393100.0,multi_shot
9.73,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
20.64,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6.0,19269000.0,14337900.0,16680000.0,,,50286900.0,multi_shot
17.16,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6.0,19400900.0,13970100.0,16119600.0,21388500.0,,70879100.0,multi_shot
27.4,600,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6.0,19527400.0,13970100.0,16119600.0,21657700.0,23177400.0,94452200.0,multi_shot
11.17,600,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,6.0,16299780.0,,,,,16299780.0,multi_shot
11.2,600,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,6.0,16299780.0,13651200.0,,,,29950980.0,multi_shot
15.31,600,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,6.0,16299780.0,13651200.0,15204720.0,,,45155700.0,multi_shot
25.96,600,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,6.0,16278920.0,13824000.0,15204720.0,13656100.0,,58963740.0,multi_shot
22.76,600,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,6.0,16315700.0,13824000.0,14847120.0,13404100.0,14019600.0,72410520.0,multi_shot
11.56,600,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,6.0,20791720.0,,,,,20791720.0,multi_shot
11.12,600,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,6.0,20791720.0,15321600.0,,,,36113320.0,multi_shot
11.07,600,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,6.0,20791720.0,15321600.0,15061480.0,,,51174800.0,multi_shot
11.18,600,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,6.0,20791720.0,15321600.0,15061480.0,14656200.0,,65831000.0,multi_shot
11.64,600,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,6.0,20791720.0,15321600.0,15061480.0,14656200.0,16679600.0,82510600.0,multi_shot
17.78,600,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,6.0,14145720.0,,,,,14145720.0,multi_shot
16.37,600,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,6.0,14145720.0,12153600.0,,,,26299320.0,multi_shot
20.79,600,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,6.0,14145720.0,12153600.0,12957160.0,,,39256480.0,multi_shot
24.87,600,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,6.0,13996680.0,12153600.0,12957160.0,13180300.0,,52287740.0,multi_shot
13.8,600,100.0,1,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,6.0,14145720.0,12153600.0,12957160.0,13191900.0,14219500.0,66667880.0,multi_shot
15.28,600,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,6.0,7170300.0,,,,,7170300.0,multi_shot
14.23,600,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,6.0,7170300.0,5414400.0,,,,12584700.0,multi_shot
11.1,600,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,,,19435240.0,multi_shot
23.89,600,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,6.0,7170300.0,5414400.0,6389740.0,6234700.0,,25209140.0,multi_shot
11.22,600,100.0,1,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,6240500.0,6085800.0,31761540.0,multi_shot
11.0,600,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,6.0,20794420.0,,,,,20794420.0,multi_shot
11.14,600,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,6.0,20794420.0,15321600.0,,,,36116020.0,multi_shot
11.21,600,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,6.0,20794420.0,15321600.0,15240280.0,,,51356300.0,multi_shot
11.26,600,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,6.0,20794420.0,15321600.0,15240280.0,16246500.0,,67602800.0,multi_shot
11.32,600,100.0,1,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,6.0,20794420.0,15321600.0,15240280.0,16246500.0,17715700.0,85318500.0,multi_shot
14.75,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6.0,21777260.0,,,,,21777260.0,multi_shot
22.47,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,6.0,21866420.0,14630400.0,,,,36496820.0,multi_shot
18.78,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,6.0,21805740.0,14630400.0,15025920.0,,,51462060.0,multi_shot
18.45,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,6.0,21880120.0,14572800.0,15025920.0,15483900.0,,66962740.0,multi_shot
550.13,600,100.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,6.0,21965300.0,14918400.0,15025920.0,15483900.0,18986900.0,86380420.0,multi_shot
31.26,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6.0,19400900.0,,,,,19400900.0,multi_shot
46.51,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6.0,19495700.0,14337900.0,,,,33833600.0,multi_shot
44.32,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6.0,19527400.0,14337900.0,16680000.0,,,50545300.0,multi_shot
445.02,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,6.0,19217100.0,14337900.0,16680000.0,21575600.0,,71810600.0,multi_shot
28.1,600,100.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,6.0,19269000.0,14337900.0,16680000.0,21821900.0,23754200.0,95863000.0,multi_shot
16.75,600,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,6.0,16315700.0,,,,,16315700.0,multi_shot
0.0,600,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,,,multi_shot
33.71,600,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,6.0,16278920.0,13824000.0,15204720.0,13698800.0,,59006440.0,multi_shot
12.06,600,100.0,2,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,6.0,16299780.0,13766400.0,15204720.0,13937100.0,14266800.0,73474800.0,multi_shot
16.6,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,6.0,20676440.0,,,,,20676440.0,multi_shot
13.45,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,6.0,20676440.0,15552000.0,,,,36228440.0,multi_shot
11.5,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,6.0,20676440.0,15552000.0,15061480.0,,,51289920.0,multi_shot
13.83,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,6.0,20775800.0,15552000.0,15061480.0,14679400.0,,66068680.0,multi_shot
30.12,600,100.0,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,6.0,20614980.0,15552000.0,15061480.0,14653300.0,16679600.0,82561360.0,multi_shot
16.41,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,6.0,14145720.0,,,,,14145720.0,multi_shot
101.6,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,6.0,14145720.0,12268800.0,,,,26414520.0,multi_shot
15.95,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,6.0,14067220.0,12211200.0,13001860.0,,,39280280.0,multi_shot
14.64,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,6.0,14014520.0,12211200.0,12778360.0,13060100.0,,52064180.0,multi_shot
13.98,600,100.0,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,6.0,13996680.0,12096000.0,12823060.0,13048500.0,14384300.0,66348540.0,multi_shot
12.41,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,6.0,7120300.0,,,,,7120300.0,multi_shot
0.0,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,,,,,,,,multi_shot
493.56,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,,,19435240.0,multi_shot
15.27,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,6226000.0,,25661240.0,multi_shot
19.85,600,100.0,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,6214400.0,6250600.0,31900240.0,multi_shot
0.0,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,,,multi_shot
13.51,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,6.0,20860020.0,15494400.0,,,,36354420.0,multi_shot
12.06,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,6.0,20860020.0,15494400.0,15240280.0,,,51594700.0,multi_shot
12.57,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,6.0,20860020.0,15494400.0,15240280.0,16234900.0,,67829600.0,multi_shot
16.76,600,100.0,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,6.0,20860020.0,15494400.0,15240280.0,16246500.0,17715700.0,85556900.0,multi_shot
804.82,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,6.0,22037740.0,,,,,22037740.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
55.09,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,6.0,19527400.0,,,,,19527400.0,multi_shot
159.96,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,6.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
340.72,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,6.0,19527400.0,14337900.0,16680000.0,,,50545300.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,,,multi_shot
837.28,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,6.0,16315700.0,13824000.0,15204720.0,,,45344420.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,,,multi_shot
813.86,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,6.0,20775800.0,15552000.0,15061480.0,,,51389280.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,,,,,,,,multi_shot
137.6,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,6.0,7170300.0,5875200.0,,,,13045500.0,multi_shot
764.12,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,6.0,7120300.0,5875200.0,6479140.0,,,19474640.0,multi_shot
490.55,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,6.0,7170300.0,5875200.0,6389740.0,6240500.0,,25675740.0,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,100.0,0,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,,,multi_shot
23.84,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,9.0,31379340.0,,,,,31379340.0,multi_shot
24.05,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,9.0,31379340.0,21139200.0,,,,52518540.0,multi_shot
201.92,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,9.0,29608480.0,19584000.0,22047180.0,,,71239660.0,multi_shot
24.13,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,9.0,31344460.0,21139200.0,22538880.0,21129700.0,,96152240.0,multi_shot
586.05,900,100.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,9.0,31010940.0,21484800.0,22870120.0,20680800.0,24778200.0,120824860.0,multi_shot
20.03,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,9.0,28824400.0,,,,,28824400.0,multi_shot
20.41,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,9.0,28824400.0,20929800.0,,,,49754200.0,multi_shot
20.66,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,9.0,28824800.0,20534000.0,24949800.0,,,74308600.0,multi_shot
20.89,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,9.0,28824400.0,20929800.0,24949800.0,33531500.0,,108235500.0,multi_shot
20.94,900,100.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9.0,28824400.0,20929800.0,24949800.0,33531500.0,35855000.0,144090500.0,multi_shot
23.66,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,9.0,23828940.0,,,,,23828940.0,multi_shot
24.02,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,9.0,23828940.0,19353600.0,,,,43182540.0,multi_shot
24.23,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,9.0,24091340.0,19584000.0,22896480.0,,,66571820.0,multi_shot
24.44,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,9.0,24091340.0,19584000.0,22896480.0,20906700.0,,87478520.0,multi_shot
0.0,900,100.0,1,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,,,multi_shot
23.89,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,9.0,30632200.0,,,,,30632200.0,multi_shot
23.8,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,9.0,30632200.0,22233600.0,,,,52865800.0,multi_shot
24.19,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,9.0,30632200.0,22233600.0,22552680.0,,,75418480.0,multi_shot
24.51,900,100.0,1,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,9.0,30632200.0,22233600.0,22552680.0,21975600.0,,97394080.0,multi_shot
